DATE,WINNERS_6,PRIZE_6_EUR,WINNERS_5C,PRIZE_5C_EUR,WINNERS_5,PRIZE_5_EUR,WINNERS_4,PRIZE_4_EUR,WINNERS_3,PRIZE_3_EUR,REVENUE_EUR,JACKPOT_EUR,NEXT_JACKPOT_EUR,SOURCE_URL
1988-02-28,0,0.00,6,15084.86,302,566.10,15980,12.59,269334,1.12,1828467.68,0.00,0.00,https://www.elgordo.com/es/resultados/bonoloto--1988-02-28-domingo
1988-02-29,0,0.00,0,0.00,105,2490.20,10674,18.84,205516,1.47,1828467.68,0.00,0.00,https://www.elgordo.com/es/resultados/bonoloto--1988-02-29-lunes
