,FECHA,N1,N2,N3,N4,N5,N6,NC,draw,success,comp
2671,22/03/2005,3,19,25,26,37,38,30,,4,False
4542,3/04/1996,1,3,22,25,37,49,33,,4,False
4907,5/07/1994,3,10,19,25,27,40,21,,4,False
5058,13/10/1993,1,3,19,30,37,49,48,,4,False
5105,23/07/1993,1,19,25,26,27,44,45,,4,False
5333,17/06/1992,1,2,19,27,37,38,45,,4,False
5576,21/04/1991,1,3,19,23,27,46,31,,4,False
5713,22/08/1990,3,12,19,24,27,37,43,,4,False
5837,17/01/1990,3,25,27,36,37,44,40,,4,False
968,20/05/2013,2,3,19,26,37,45,25,,3,True
2105,7/12/2007,1,18,27,37,41,42,19,,3,True
2156,10/09/2007,3,15,24,27,37,40,19,,3,True
2550,19/10/2005,2,14,19,27,37,48,1,,3,True
2898,18/02/2004,3,16,19,30,37,41,1,,3,True
2953,14/11/2003,1,3,6,12,37,43,25,,3,True
5292,30/08/1992,19,20,25,27,32,43,37,,3,True
6023,27/02/1989,1,19,30,37,42,45,27,,3,True
152,8/08/2016,1,3,7,9,25,38,31,,3,False
396,28/10/2015,14,19,25,26,27,28,24,,3,False
405,17/10/2015,1,12,19,25,42,48,46,,3,False
406,16/10/2015,3,14,17,25,27,38,10,,3,False
526,29/05/2015,3,7,10,15,25,27,43,,3,False
584,23/03/2015,1,3,4,14,16,37,34,,3,False
660,10/11/2014,1,3,4,10,25,38,30,,3,False
675,14/10/2014,1,5,27,37,38,44,39,,3,False
712,11/08/2014,2,3,25,37,45,49,38,,3,False
771,29/04/2014,1,3,6,10,11,25,43,,3,False
787,1/04/2014,1,5,8,12,19,27,22,,3,False
800,10/03/2014,3,12,15,25,37,43,29,,3,False
812,17/02/2014,1,3,26,27,30,47,14,,3,False
948,24/06/2013,3,7,13,19,32,37,2,,3,False
999,26/03/2013,1,18,25,27,36,40,12,,3,False
1083,30/10/2012,1,3,17,19,21,45,41,,3,False
1108,17/09/2012,3,16,19,23,27,41,24,,3,False
1142,18/07/2012,3,25,37,42,43,45,44,,3,False
1160,18/06/2012,1,3,8,19,32,33,26,,3,False
1237,3/02/2012,1,3,10,25,31,48,49,,3,False
1285,11/11/2011,25,27,37,41,45,47,20,,3,False
1350,20/07/2011,3,23,27,35,36,37,43,,3,False
1397,29/04/2011,13,16,19,25,27,49,14,,3,False
1438,16/02/2011,3,19,23,24,34,37,8,,3,False
1492,15/11/2010,4,12,13,19,25,27,10,,3,False
1550,4/08/2010,6,12,19,27,37,43,11,,3,False
1652,8/02/2010,1,4,25,28,37,40,30,,3,False
1756,10/08/2009,1,17,22,27,32,37,31,,3,False
1825,10/04/2009,9,10,25,27,29,37,31,,3,False
1834,25/03/2009,4,16,19,25,27,40,34,,3,False
1889,19/12/2008,3,11,14,19,25,30,34,,3,False
1912,10/11/2008,3,11,18,25,37,45,44,,3,False
2051,11/03/2008,1,5,6,22,25,37,28,,3,False
2144,1/10/2007,3,14,15,25,37,44,35,,3,False
2168,20/08/2007,3,11,16,25,37,42,26,,3,False
2296,8/01/2007,3,12,19,37,38,48,15,,3,False
2336,30/10/2006,11,19,27,31,37,42,24,,3,False
2381,11/08/2006,3,15,19,27,30,41,4,,3,False
2440,1/05/2006,13,19,25,37,46,49,48,,3,False
2450,12/04/2006,3,5,19,25,28,41,20,,3,False
2469,10/03/2006,3,10,17,19,20,27,16,,3,False
2503,10/01/2006,14,19,24,25,28,37,22,,3,False
2524,5/12/2005,1,3,22,25,41,46,34,,3,False
2532,21/11/2005,4,19,25,28,36,37,17,,3,False
2543,1/11/2005,1,25,27,39,40,49,4,,3,False
2601,22/07/2005,3,16,21,22,25,27,34,,3,False
2606,13/07/2005,1,5,23,25,34,37,2,,3,False
2615,28/06/2005,3,7,19,27,42,49,4,,3,False
2655,19/04/2005,3,19,27,36,38,39,20,,3,False
2745,12/11/2004,3,8,19,37,44,49,2,,3,False
2764,11/10/2004,19,21,25,35,37,48,16,,3,False
2868,12/04/2004,1,3,11,25,42,43,15,,3,False
2943,2/12/2003,3,19,25,34,36,44,12,,3,False
3113,7/02/2003,1,3,19,39,40,43,38,,3,False
3139,24/12/2002,1,19,37,38,40,44,26,,3,False
3181,11/10/2002,1,3,18,23,35,37,8,,3,False
3354,12/12/2001,19,20,25,27,39,49,35,,3,False
3372,12/11/2001,1,3,5,6,27,35,23,,3,False
3430,1/08/2001,17,23,25,27,33,37,14,,3,False
3648,17/07/2000,1,27,37,40,46,47,15,,3,False
3701,14/04/2000,1,7,27,28,37,49,18,,3,False
3760,3/01/2000,9,19,22,25,27,35,8,,3,False
3839,17/08/1999,1,19,30,32,37,44,43,,3,False
3938,24/02/1999,1,3,27,30,38,46,45,,3,False
4115,21/04/1998,3,15,19,22,25,31,42,,3,False
4164,26/01/1998,3,11,19,24,27,41,38,,3,False
4252,25/08/1997,1,12,25,37,43,47,13,,3,False
4260,11/08/1997,1,3,25,26,31,33,4,,3,False
4286,25/06/1997,3,11,19,28,29,37,2,,3,False
4446,18/09/1996,1,3,11,26,27,38,14,,3,False
4537,12/04/1996,1,3,9,19,39,41,33,,3,False
4673,18/08/1995,3,25,31,37,43,45,49,,3,False
4737,28/04/1995,3,5,7,27,37,38,44,,3,False
4746,12/04/1995,3,19,22,27,34,42,12,,3,False
4869,9/09/1994,3,4,13,18,27,37,17,,3,False
4914,22/06/1994,9,15,18,19,27,37,47,,3,False
4941,6/05/1994,1,3,13,27,34,40,31,,3,False
5214,12/01/1993,1,2,16,25,33,37,14,,3,False
5298,18/08/1992,3,10,24,25,27,47,17,,3,False
5353,13/05/1992,3,19,20,21,32,37,8,,3,False
5412,2/02/1992,3,12,17,25,37,42,14,,3,False
5433,25/12/1991,19,25,27,30,31,33,14,,3,False
5440,15/12/1991,1,3,25,29,48,49,31,,3,False
5469,23/10/1991,1,9,15,27,31,37,10,,3,False
5526,16/07/1991,19,25,27,35,36,39,23,,3,False
5557,22/05/1991,17,19,25,27,35,38,9,,3,False
5572,28/04/1991,15,19,27,28,33,37,34,,3,False
5583,8/04/1991,3,20,25,27,34,45,13,,3,False
5601,6/03/1991,1,3,19,31,33,46,22,,3,False
5638,1/01/1991,19,25,27,46,47,48,30,,3,False
5732,22/07/1990,1,8,19,20,25,42,32,,3,False
5790,10/04/1990,7,25,27,36,37,45,20,,3,False
5828,4/02/1990,1,7,25,27,28,46,6,,3,False
5869,22/11/1989,7,19,27,31,37,41,21,,3,False
5894,10/10/1989,1,2,8,25,27,43,7,,3,False
5932,6/08/1989,11,21,25,27,37,49,13,,3,False
6021,1/03/1989,1,11,27,37,46,48,10,,3,False
